seed,entry,category,transition_count,ebrem_transition_count,ebrem_step_count,max_frac,sum_loss_GeV,cumulative_frac,lcio_residual_pct,gsf_residual_pct
73,1,no_ebrem,232,0,0,0.0,0.0,0.0,-0.1472078939970981,0.30469915393183966
73,2,no_ebrem,231,0,0,0.0,0.0,0.0,-0.22674306978679423,0.3988041854483477
73,3,light_ebrem,232,1,1,9.510387423463672e-06,1.9073486328125e-05,9.510387423472544e-06,-0.022029558561667013,0.192941689211406
73,4,light_ebrem,232,2,2,0.09294125022946624,0.18671584129333496,0.0929909275868579,-9.091982174777721,-9.025298799040272
73,5,no_ebrem,232,0,0,0.0,0.0,0.0,0.02261709136154313,0.13736233791521263
73,6,no_ebrem,231,0,0,0.0,0.0,0.0,-0.39073387387806113,-0.23073908321915068
73,7,no_ebrem,232,0,0,0.0,0.0,0.0,0.05233820078693243,0.24283445689922162
73,8,no_ebrem,232,0,0,0.0,0.0,0.0,-49.059787100648855,-49.039020621819034
73,9,no_ebrem,232,0,0,0.0,0.0,0.0,0.050419142282675224,0.013058273103090389
74,0,light_ebrem,233,2,3,0.021713386717492126,0.07114338874816895,0.035463701175130535,-2.2623177546382265,0.890324155338401
74,1,light_ebrem,232,1,1,0.0008282513138915735,0.0016629695892333984,0.000828251313891526,-0.40405815917113735,-0.09173626240826425
74,2,no_ebrem,232,0,0,0.0,0.0,0.0,0.0679896913608509,0.24101319262514392
74,3,light_ebrem,233,3,3,0.0023266955138739926,0.005005359649658203,0.0024939485509521964,-0.23267104628292362,-0.14960876637611023
74,4,hard_ebrem,233,2,2,0.4253153315736185,0.8634222745895386,0.43056628915482287,-0.5810393874336376,-0.14959686541706074
74,5,light_ebrem,232,1,1,0.0007091430531054576,0.0014238357543945312,0.0007091430531054321,-0.10432772199747718,-0.005125238549854431
74,6,hard_ebrem,232,1,1,0.18390659081744026,0.3690294027328491,0.1839065908174402,-18.515024517942056,-18.458371272433787
74,7,light_ebrem,232,1,1,0.04635391409299729,0.09300446510314941,0.04635391409299727,-4.557161546897909,-0.49231292425341705
74,8,light_ebrem,232,1,1,1.1171682494603423e-05,2.2411346435546875e-05,1.1171682494648394e-05,0.16247563964170877,0.2775812394592829
74,9,light_ebrem,232,1,1,6.771404856237729e-06,1.3589859008789062e-05,6.771404856276142e-06,-0.17960993263306346,-0.23264527399675278
75,0,no_ebrem,232,0,0,0.0,0.0,0.0,0.1721984139973001,0.7372323069205002
75,1,light_ebrem,233,2,2,7.40868380986154e-05,0.0001595020294189453,7.954903823936821e-05,-0.08528102049381732,0.14045861810468216
75,2,no_ebrem,233,0,0,0.0,0.0,0.0,0.05293435834087005,0.29548458014914214
75,3,no_ebrem,232,0,0,0.0,0.0,0.0,-0.3227410912216899,0.07784972748461004
75,4,light_ebrem,233,1,1,0.005050463611690606,0.010126233100891113,0.005050463611690592,-0.5974661817065128,0.13385085562603127
75,5,light_ebrem,232,1,1,0.0049461727094400765,0.009921789169311523,0.004946172709440089,0.011439587535400416,1.6824079912072119
75,6,hard_ebrem,232,1,1,0.2709078317796594,0.5431877374649048,0.2709078317796594,0.3371818152475238,0.5170437914224782
75,7,light_ebrem,232,2,3,0.009648106208850954,0.019804835319519043,0.010006229830359592,-2.4269437985794933,-2.099939609790782
75,8,no_ebrem,232,0,0,0.0,0.0,0.0,0.058449152524368886,0.3599243750260169
75,9,light_ebrem,231,1,1,0.0009012984877197636,0.0018084049224853516,0.0009012984877198038,-0.14072108886019022,0.415243075956038
76,0,hard_ebrem,232,1,1,0.19423843611131433,0.3899228572845459,0.1942384361113143,-19.37270532302902,28.068506793559113
76,1,no_ebrem,232,0,0,0.0,0.0,0.0,0.04393443127206643,2.3414160541954407
76,2,no_ebrem,232,0,0,0.0,0.0,0.0,-0.09681457517448004,0.12257813063761241
76,3,no_ebrem,232,0,0,0.0,0.0,0.0,-0.033156221068446824,0.10836915804191921
76,4,no_ebrem,232,0,0,0.0,0.0,0.0,-0.1393397100695509,0.4826341425972954
76,5,hard_ebrem,233,3,3,0.1578186152128785,0.31679821014404297,0.15803891814861049,-0.14380746793609073,-0.3262663786250703
76,6,light_ebrem,232,1,1,3.805287256378375e-06,7.62939453125e-06,3.805287256408718e-06,-0.5348360658380874,-34.037035995970726
76,7,light_ebrem,231,1,1,2.0799341267034067e-05,4.172325134277344e-05,2.0799341267085936e-05,0.11682268636020382,0.4111312170446095
76,8,hard_ebrem,59,11,12,0.9414547831505536,1.95657869707793,0.98896855359591,0.23721370792061072,0.2567747615191529
76,9,no_ebrem,233,0,0,0.0,0.0,0.0,-0.1636899830580825,1.9969085670211153
77,0,light_ebrem,232,1,2,0.0012556765434273325,0.002518892288208008,0.0012556765434272865,-0.08183760729548711,-0.10005225914851686
77,1,light_ebrem,233,1,1,0.004052559458967315,0.008123636245727539,0.00405255945896732,0.14985898125357597,0.2618055576511657
77,2,light_ebrem,232,1,1,0.002469601943508336,0.004597187042236328,0.002469601943508315,-7.158311880246147,-6.306140571967634
77,3,no_ebrem,232,0,0,0.0,0.0,0.0,0.06771096775776966,0.529622301264878
77,4,light_ebrem,232,1,1,0.0022068553718218187,0.004430532455444336,0.0022068553718218586,-0.06748116844346702,0.4775299488998031
77,5,no_ebrem,231,0,0,0.0,0.0,0.0,-0.15979828111823446,-0.13381381270659332
77,6,light_ebrem,233,2,2,0.019370515907196326,0.04984164237976074,0.024845095099942704,-0.5826772872974988,-0.38277555047649786
77,7,light_ebrem,232,1,1,0.04553427698941635,0.09131979942321777,0.04553427698941637,-4.227960404054126,0.3852396890353432
77,8,light_ebrem,232,1,1,8.316554684257843e-07,1.6689300537109375e-06,8.316554683807098e-07,-0.008853255897837038,0.16460578544706303
77,9,light_ebrem,232,1,1,0.0010689536307337542,0.0021440982818603516,0.0010689536307337821,-0.0905742322411021,0.3268655760905391
78,0,hard_ebrem,231,1,1,0.1332899114790337,0.26759302616119385,0.13328991147903368,-13.33604085851092,34.84004873161273
78,1,no_ebrem,231,0,0,0.0,0.0,0.0,0.1260228823106641,0.16626085573233493
