entry_index,file_index,event_id,tracking_file,material_step_file,primary_tracker_ebrem_count,tracker_cumulative_frac_loss,max_tracker_single_frac_loss,tracker_sum_loss_GeV
56,3,56,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.00031006498524577264,0.00031006498524577264,0.000621795654296875
61,3,61,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,5.764378588701824e-05,5.764378588701824e-05,0.00011563301086425781
62,3,62,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,2,0.09462619567571362,0.09457980796999543,0.1798412799835205
63,3,63,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.016934890843234074,0.016934890843234074,0.03398728370666504
66,3,66,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,2,0.02246022968193151,0.021905456097885745,0.045031189918518066
67,3,67,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,3,0.01599968388838169,0.012485662391567787,0.032091736793518066
68,3,68,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,3,0.049372517693763496,0.04399083714415686,0.09902477264404297
72,3,72,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,3,0.015071363025191853,0.013938188172757715,0.03024423122406006
73,3,73,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,2,0.07362518021535913,0.044970148755124395,0.10478782653808594
77,3,77,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.00238064994417031,0.00238064994417031,0.004776716232299805
78,3,78,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,8.796908623653898e-05,8.796908623653898e-05,0.00017642974853515625
80,3,80,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.0748559300188717,0.0748559300188717,0.15010249614715576
83,3,83,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,2,0.0037291720074486,0.002179768540653826,0.007482171058654785
87,3,87,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.0008162880644881909,0.0008162880644881909,0.0016355514526367188
89,3,89,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.00010940427767158756,0.00010940427767158756,0.00021958351135253906
